Business Legal Name,City,zipcode,Race or Ethnicity,Gender,Race Adjusted,Ethnicity Adjusted,Top City,Chicago Region,Illinois Region
Benjamin Melsky,Skokie,60076,White,Male,White,,Skokie,Not Chicago,Chicagoland
Ingersoll Music Company INC.,Skokie,60076,White,Nonbinary,White,,Skokie,Not Chicago,Chicagoland
Jeanie B Music LLC,Skokie,60076,White,Female,White,,Skokie,Not Chicago,Chicagoland
"Spirit Art, LLC",Skokie,60076,White,I decline to answer,White,,Skokie,Not Chicago,Chicagoland
Uber,Skokie,60076,White,Male,White,,Skokie,Not Chicago,Chicagoland
Anatomically Correct,Skokie,60077,I decline to answer,I decline to answer,I decline to answer,,Skokie,Not Chicago,Chicagoland
Jordan Baskin,Skokie,60077,I decline to answer,Male,I decline to answer,,Skokie,Not Chicago,Chicagoland
Holocaust Memorial Foundation of Illinois Inc.,Skokie,60077,Middle Eastern or North African (MENA)/Arab American,Male,Middle Eastern or North African (MENA)/Arab American,,Skokie,Not Chicago,Chicagoland
Chicago Groove Graden Inc.,Skokie,60077,White,Female,White,,Skokie,Not Chicago,Chicagoland
Confuzed Gallery,Skokie,60077,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,Skokie,Not Chicago,Chicagoland
Theatre Nebula Educational Support Services,Palatine,60078,White,Male,White,,Palatine,Not Chicago,Chicagoland
Steven Gritman,Wauconda,60084,White I decline to answer,I decline to answer,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
The Fatal 4 Store / Custom Shirts,Waukegan,60085,Black or African American,Male,Black or African American,,Waukegan,Not Chicago,Chicagoland
Spotlight Consulting,Buffalo Grove,60089,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Yazz Jazz LLC,Buffalo Grove,60089,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Korean Cultural Center of Chicago,Wheeling,60090,Asian American,Female,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
S&S Hair,Wheeling,60090,Asian American,Nonbinary,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
"Artishock, Inc.",Wheeling,60090,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"Jacqueline Piccolino, soprano",Wheeling,60090,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Screaming Galaxy LLC,Wheeling,60090,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Thomas Yang,Wilmette,60091,Asian American,Male,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
"Uncommon Enterprises, LLC",Wilmette,60091,Asian American,Male,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
Flash Magnets LLC,Wilmette,60091,Middle Eastern or North African (MENA)/Arab American,Male,Middle Eastern or North African (MENA)/Arab American,,z_Not a Top City,Not Chicago,Chicagoland
Maloos Photography,Wilmette,60091,Middle Eastern or North African (MENA)/Arab American,Female,Middle Eastern or North African (MENA)/Arab American,,z_Not a Top City,Not Chicago,Chicagoland
Charlene Kluegel,Wilmette,60091,Asian American White Multiple Races,Female,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
Stephen Alltop,Wilmette,60091,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
North Shore Music,Wilmette,60091,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
Chanthy Sengpradichit,Winnetka,60093,Asian American,Female,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
"Eric Hochberg Music, LLC",Winnetka,60093,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
North Shore Art League,Winnetka,60093,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
A Place to Shine Music,Woodstock,60098,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Kellwood Studio Photography LLC,Woodstock,60098,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"Proto Productions, inc.",Addison,60101,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Our Wedding Movie Inc,Algonquin,60102,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Bennardo Management Co,Algonquin,60102,American Indian/Native American or Alaska Native White,Male,Multiracial,,z_Not a Top City,Not Chicago,Chicagoland
Ayre Productions,Algonquin,60102,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"Fox Valley Pottery, LLC",Algonquin,60102,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"PDE Algonquin, Inc.",Algonquin,60102,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
William H Surges III,Bartlett,60103,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Barbara Jean Couture,Bellwood,60104,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Quality Slam Productions,Bellwood,60104,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Designers Ink,Burlington,60109,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Modern Adornment LLC,Carpentersville,60110,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Pirok Design Inc,Elburn,60119,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
April Dippy Design LLC,Elgin,60120,White,Female,White,,Elgin,Not Chicago,Chicagoland
Cirrus Falcon,Elgin,60120,White,Male,White,,Elgin,Not Chicago,Chicagoland
Elgin Area Historical Society,Elgin,60120,White,Male,White,,Elgin,Not Chicago,Chicagoland
Escapade 360 LLC,Elgin,60120,White,Male,White,,Elgin,Not Chicago,Chicagoland
Flora Mc Keon,Elgin,60120,White,Female,White,,Elgin,Not Chicago,Chicagoland
Sara Sitzer,Elgin,60120,White,Female,White,,Elgin,Not Chicago,Chicagoland
The Haight Group,Elgin,60120,White,Female,White,,Elgin,Not Chicago,Chicagoland
"Elgin Theatre Company, Inc.",Elgin,60121,White,Male,White,,Elgin,Not Chicago,Chicagoland
"Side Street Studio Arts, NFP",Elgin,60121,White,Female,White,,Elgin,Not Chicago,Chicagoland
"Elgin Master Chorale, Inc.",Elgin,60123,White,Male,White,,Elgin,Not Chicago,Chicagoland
JG MANAGEMENT LLC,Elmhurst,60126,Asian American,Male,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
ChiTown Movies LLC,Elmhurst,60126,I decline to answer,Male,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
"Osio-Brown Studios, Ltd.",Elmhurst,60126,I decline to answer,I decline to answer,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
All Corporate Video LLC,Elmhurst,60126,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
DJUj Mobile Music Lights & Entertainment,Elmhurst,60126,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Elmhurst Art Museum,Elmhurst,60126,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Rob Wienski,Elmhurst,60126,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Trinity Booster Club,Elmhurst,60126,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"My Naked Soul Productions, Inc.",Forest Park,60130,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Daniel Zalkus,Forest Park,60130,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
ESB Designs,Forest Park,60130,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Richard Sladek,Forest Park,60130,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
CHAUNTE FILLMORE,Hanover Park,60133,American Indian/Native American or Alaska Native,Female,American Indian/Native American or Alaska Native,,z_Not a Top City,Not Chicago,Chicagoland
"Creative Sewing Center, Inc",Geneva,60134,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"Henry & Associates, Inc.",Geneva,60134,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Vargo's Dance LLC,Geneva,60134,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
ASH-CULHANE LLC,Glen Ellyn,60137,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
George Berlin,Glen Ellyn,60137,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
John B Leen,Glen Ellyn,60137,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
kozy glam nails & spa corp,Glendale Heights,60139,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
"SnoStudios, LLC",Huntley,60142,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Artists of Note Inc,Kaneville,60144,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Gedra's Art,Lombard,60148,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
"Sycamore Speedway & Associates, Inc.",Maple Park,60151,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
KANELAND PERFORMING ARTS BOOSTERS,Maple Park,60151,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
Jazz Desires Corporation,Maywood,60153,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
"Just Film It, LLC",Maywood,60153,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Malik Lemon,Maywood,60153,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Everything Parties by Dawn,Westchester,60154,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Casual Canvas Creations,Broadview,60155,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Pose Art Llc,Broadview,60155,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
Theresa Goodrich,Lake In The Hills,60156,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Berkeley Furniture,Berkeley,60163,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
ACROSS THE GLOBE INC,Hoffman Estates,60169,Asian American,Male,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
Kaz Wellness LLC,Hoffman Estates,60169,I decline to answer,I decline to answer,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
"Game Show Gurus, Inc",Hoffman Estates,60169,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Perfect Science Inc.,River Grove,60171,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
AnetaArt,Schaumburg,60173,White,Female,White,,Schaumburg,Not Chicago,Chicagoland
Microlith Media,Saint Charles,60174,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
"Hot Potato Glass, Inc.",Saint Charles,60174,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Hunt House LLC,Saint Charles,60174,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
maureen christine music,Saint Charles,60174,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Ryan Caldwell,Saint Charles,60174,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
TONY & FRIENDS ART STUDIO,Saint Charles,60174,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Marquee Youth Stage,St Charles,60174,Asian American,Female,Asian American,,z_Not a Top City,Not Chicago,Chicagoland
Fine Line Creative Arts Center,Saint Charles,60175,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Norman H Masters,Saint Charles,60175,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"CREST COMMUNICATIONS, INC.",Oakbrook Terrace,60181,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"Drury Lane Productions, Inc.",Oakbrook Terrace,60181,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Beyond Center Stage LLC,Villa Park,60181,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Rick Kelley/Kelley Entertainment,Wayne,60184,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
John E. French,West Chicago,60185,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Laura Utley,West Chicago,60185,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Pinhead Piano Tuning Inc.,West Chicago,60185,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"Yoga by Degrees, Inc.",West Chicago,60185,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
RESCU FOUNDATION INC,Wheaton,60187,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
"Noteable Notes Music Academy, LLC",Wheaton,60187,I decline to answer,I decline to answer,I decline to answer,,z_Not a Top City,Not Chicago,Chicagoland
Sylvia Zaimoff Music INC,Wheaton,60187,Not Listed,Male,Not Listed,,z_Not a Top City,Not Chicago,Chicagoland
ACAPPELLAGO NFP,Wheaton,60187,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Cherith Lundin,Wheaton,60187,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Morna Freitas Photography,Wheaton,60187,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
Tina Morna Freitas,Wheaton,60187,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
New Gospel,Carol Stream,60188,Black or African American,Male,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
59 North The Oasis Cafe Corporation,Carol Stream,60188,Middle Eastern or North African (MENA)/Arab American,Male,Middle Eastern or North African (MENA)/Arab American,,z_Not a Top City,Not Chicago,Chicagoland
"Orchestra 33 Entertainment, Inc.",Carol Stream,60188,White,Male,White,,z_Not a Top City,Not Chicago,Chicagoland
"Gail Sonkin/musician, educator, ZAZZ",Wheaton,60189,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Steve Maxwell Vintage and Custom Drums,Wheaton,60189,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
Status Entertainment,Hoffman Estates,60192,Hispanic or Latino/a/x,Male,,Hispanic or Latino/a/x,z_Not a Top City,Not Chicago,Chicagoland
Ganlin Corporation,Schaumburg,60193,Asian American,Male,Asian American,,Schaumburg,Not Chicago,Chicagoland
"DOROTHY'S DANCING UNLIMITED, INC.",Schaumburg,60193,White,Female,White,,Schaumburg,Not Chicago,Chicagoland
My Party Princess,Schaumburg,60193,White,Female,White,,Schaumburg,Not Chicago,Chicagoland
"Mitchell Museum of the American Indian, Inc",Evanston,60201,American Indian/Native American or Alaska Native,Female,American Indian/Native American or Alaska Native,,Evanston,Not Chicago,Chicagoland
Institute For Therapy Through The Arts,Evanston,60201,Black or African American,Female,Black or African American,,Evanston,Not Chicago,Chicagoland
Art Encounter,Evanston,60201,White,Female,White,,Evanston,Not Chicago,Chicagoland
Center for Women's History and Leadership,Evanston,60201,White,Female,White,,Evanston,Not Chicago,Chicagoland
Evanston Art Center,Evanston,60201,White,Female,White,,Evanston,Not Chicago,Chicagoland
Evanston History Center,Evanston,60201,White,Female,White,,Evanston,Not Chicago,Chicagoland
JOEY GARFIELD,Evanston,60201,White,Male,White,,Evanston,Not Chicago,Chicagoland
john preus,Evanston,60201,White,Male,White,,Evanston,Not Chicago,Chicagoland
MOSHMAN PRODUCTIONS,Evanston,60201,White,Male,White,,Evanston,Not Chicago,Chicagoland
"Mudlark Theater Company, NFP",Evanston,60201,White,Female,White,,Evanston,Not Chicago,Chicagoland
Petronella A. van Nuis,Evanston,60201,White,Female,White,,Evanston,Not Chicago,Chicagoland
Petronella van Nuis,Evanston,60201,White,Female,White,,Evanston,Not Chicago,Chicagoland
Vocal Gymnasium,Evanston,60201,White,Female,White,,Evanston,Not Chicago,Chicagoland
"MY Piano Study, Inc.",Evanston,60201,Hispanic or Latino/a/x,Female,,Hispanic or Latino/a/x,Evanston,Not Chicago,Chicagoland
Midwest Concerts,Evanston,60202,Asian American,Male,Asian American,,Evanston,Not Chicago,Chicagoland
Fine Art of Jenn,Evanston,60202,Black or African American,Female,Black or African American,,Evanston,Not Chicago,Chicagoland
Lester Jenkins,Evanston,60202,Black or African American,Male,Black or African American,,Evanston,Not Chicago,Chicagoland
The Musical Offering,Evanston,60202,Black or African American,Male,Black or African American,,Evanston,Not Chicago,Chicagoland
Tukki LLC,Evanston,60202,Black or African American,Male,Black or African American,,Evanston,Not Chicago,Chicagoland
Mark Virkler,Evanston,60202,I decline to answer,I decline to answer,I decline to answer,,Evanston,Not Chicago,Chicagoland
Roy McGrath,Evanston,60202,Multiple Races Hispanic or Latino/a/x White,Male,Multiracial,Hispanic or Latino/a/x,Evanston,Not Chicago,Chicagoland
Fonseca Martial Arts,Evanston,60202,White,Male,White,,Evanston,Not Chicago,Chicagoland
Freckled Sky Inc.,Evanston,60202,White,Male,White,,Evanston,Not Chicago,Chicagoland
Julie Cowan,Evanston,60202,White,Female,White,,Evanston,Not Chicago,Chicagoland
"Rembrandt Chamber Players, Inc.",Evanston,60202,White,Male,White,,Evanston,Not Chicago,Chicagoland
The Collected Image,Evanston,60202,White,Male,White,,Evanston,Not Chicago,Chicagoland
Suzanne M Reed,Evanston,60203,American Indian/Native American or Alaska Native White,Female,Multiracial,,Evanston,Not Chicago,Chicagoland
"Rivet Radio, Inc",Evanston,60203,White,Female,White,,Evanston,Not Chicago,Chicagoland
"Modal Music, Inc.",Evanston,60204,I decline to answer,Male,I decline to answer,,Evanston,Not Chicago,Chicagoland
Unity Temple Restoration Foundation,Oak Park,60301,White,Female,White,,z_Not a Top City,Not Chicago,Chicagoland
HONEYLAND LLC,Oak Park,60302,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
"Searching Productions, LLC",Oak Park,60302,Black or African American,Female,Black or African American,,z_Not a Top City,Not Chicago,Chicagoland
